id_produk;nama_parfum;brand;harga_teks;size;concentrate;top_notes;middle_notes;base_notes;kategori;waktu;aktivitas;gender;deskripsi_wangi;foto_url;link_toko;harga;;;
1;Glitch;Mykonos;Rp249.000,00;50 ml;Extrait De Parfum;sicilian bergamot, apple, grapefruit, charred pineapple.;Lavender, artemesia, lily of the valley, pink pepper, vanilla, dried jasmine;white musk, cedarwood, moss, amber, patchouli, smoky notes;Fresh / Smooky;versatile;Kuliah, kerja di ruangan AC, atau nonkrong, ngedate malam.;unisex;Awal spray: Segar dari nanas bakar dan buah lemon. Lama-kelamaan: Berubah jadi lebih tenang berkat bunga lavender. Akhir : Menyisakan wangi kayu maskulin dengan aroma asap tipis (smoky) yang macho.;https://mykonos.com.my/wp-content/uploads/2025/09/glitch-new-look.png;https://shopee.co.id/mykonosofficial;249000;;;
2;Invade;Mykonos;Rp249.000,00;50 ml;Extrait De Parfum;pink pepper, lavender absolute, juniper.;cashmeran, cinnamon bark, caramel;amber, madagascar vanilla, drywoods;Gourmand / Spicy;night;Date night, nongkrong malam hari, atau dipakai saat cuaca dingin.;unisex;Awal spray: Sensasi hangat dari rempah lada pink dan lavender. Lama-kelamaan: Berubah jadi sangat manis dan mewah seperti karamel cair serta kayu manis. Akhir : Ditutup kehangatan manis vanila yang pekat menempel di baju.;https://officialmykonos.com/cdn/shop/files/invade_50ml_sku_1_1.jpg?v=1779176725&width=1946;https://shopee.co.id/mykonosofficial;249000;;;
3;Inception;Mykonos;Rp230.000,00;50 ml;Extrait De Parfum; Bergamot, Ginger, Orange, Lemon ; Neroli, Cinnamon, Black Tea, Biga Flower ;  Guaiac, Musk, Cedarwood, Lorenox™;Fresh / Citrus;day;Kuliah harian, ngantor, atau hangout santai di siang hari;unisex;Awal spray bergamot segar berpadu jahe yang hangat. Lama-kelamaan neroli, kayu manis, dan teh hitam memberi kedalaman. Akhirnya guaiac dan cedarwood smoky yang maskulin.;http://emiratesoud.co.uk/cdn/shop/files/Inception-50ml-Extrait-De-Parfum-Mykonos-191223657.png?v=1779539346;https://shopee.co.id/mykonosofficial;230000;;;
4;Conquer;Mykonos;Rp230.000,00;50 ml;Extrait De Parfum; Bergamot, Cardamom, Ginger ; Orange Blossom, Orris Root ;  Amber, Musk, Patchouli, Vanilla;Fresh / Spicy;versatile;Meeting penting, menghadiri acara semi-formal, atau kencan;male;Awal spray bergamot dan kardamom yang segar bersemangat. Lama-kelamaan orange blossom orris yang feminin elegan. Akhirnya amber vanilla patchouli yang hangat tahan lama.;https://d13eru2cpf9i9v.cloudfront.net/toco/54a22c81-4c7f-4057-b49a-896832351e03-26e26aa9-294b-4ef1-ad41-dbab07ee36a8-914ec601-71f9-4a91-9d1b-d26e9d6bc564.webp;https://shopee.co.id/mykonosofficial;230000;;;
5;Reflection;Mykonos;Rp230.000,00;50 ml;Extrait De Parfum; Grapefruit, Mandarin, Bergamot, Green Notes ; Peach, Geranium, Patchouli, Jasmine, Rose ;  Musk, Amber, Sandalwood, Cedarwood, Vanilla;Fresh / Clean;day;Setelah selesai mandi, bersantai di rumah, atau cuaca panas terik;unisex;Awal spray grapefruit dan mandarin yang cerah segar. Lama-kelamaan peach jasmine dan mawar yang floral fruity. Akhirnya sandalwood amber vanilla yang mewah.;https://filebroker-cdn.lazada.co.id/kf/S20c02c63d6b34fdbb04232f866f051d3k.jpg;https://shopee.co.id/mykonosofficial;230000;;;
6;Reflection Elixir;Mykonos;Rp230.000,00;50 ml;Extrait De Parfum; Grapefruit, Bergamot, Ginger, Rhubarb Leaves ; Ylang-Ylang, Peach, Magnolia ;  Ambroxan, Musk, Chypre Accord;Fresh / Aromatic;versatile;Ngedate, jalan-jalan ke mall, atau bekerja seharian penuh;unisex;Awal spray grapefruit rhubarb dan jahe yang tajam segar. Lama-kelamaan ylang-ylang peach magnolia yang sensual. Akhirnya ambroxan chypre yang modern tahan lama.;https://fragranceforte.co.uk/cdn/shop/files/reflection-elixir-edp-50ml-mykonos-1497436_grande.webp?v=1781883086;https://shopee.co.id/mykonosofficial;230000;;;
7;Penthouse;Mykonos;Rp230.000,00;50 ml;Extrait De Parfum; Sparkling Blackcurrant, Aldehydes, Mandarin Zest, Rose Mist ; Velvety White Floral, White Tea Vapor, White Soap Accord, Cashmere Wood, Cedarwood ;  Tonka Foam, Iso E Super, Amber, Clean Musks, Cashmeran;Fresh / Sweet;versatile;Kerja di kantor AC, nongkrong di kafe aesthetic, atau kuliah;male;Awal spray blackcurrant dan mandarin yang berkilau. Lama-kelamaan white floral white tea yang mewah bersih. Akhirnya tonka foam amber cashmeran yang sophisticated.;https://officialmykonos.com/cdn/shop/files/penthouse_50ml_sku_1.jpg?v=1778043194;https://shopee.co.id/mykonosofficial;230000;;;
8;Sorrento;Mykonos;Rp230.000,00;50 ml;Extrait De Parfum; Fizzy Grapefruit, Bergamot, Mandarin Orange, Magnolia, Ginger ; Neroli, Ginger, Powdery Notes, Water Notes ;  Amber, Musk, Cedar, Patchouli, Orris Root;Fresh / Spicy;day;Liburan ke pantai, jalan-jalan santai, atau setelah berolahraga;unisex;Awal spray grapefruit fizzy bergamot yang meletup seperti soda. Lama-kelamaan neroli powdery water notes yang segar. Akhirnya amber cedar patchouli yang hangat.;https://image.astronauts.cloud/product-images/2026/1/3475932544941MykonosSorrentoExtraitdeParfum50ml1_dd91eaf8-63d7-4891-9135-a3b823219337_900x900.png;https://shopee.co.id/mykonosofficial;230000;;;
9;Monaco Royale;Mykonos;Rp230.000,00;100 ml;Extrait De Parfum; Pear, Melon, Green Notes ; Soft Wood, Cedarwood ;  Moss, Caramel, Musk;Gourmand / Fresh;night;Menghadiri pesta formal, nongkrong malam, atau kencan romantis;male;Awal spray pir melon dan green notes yang segar ringan. Lama-kelamaan cedarwood yang halus muncul. Akhirnya moss caramel musk yang manis earthly.;https://officialmykonos.com/cdn/shop/files/monaco_royale_50ml_sku-2.jpg?v=1782292390&width=1920;https://shopee.co.id/mykonosofficial;230000;;;
10;California Signature;Mykonos;Rp230.000,00;50 ml;Extrait De Parfum; Mandarin Orange, Lemon ; Lavender, Lychee, Aquatic Notes, Rosemary, Cardamom, Geranium ;  Teak Wood, Tonka Bean, Vetiver;Fresh / Leychee;versatile;Jalan-jalan siang hari, bimbingan kuliah, atau kumpul kasual;unisex;Awal spray mandarin dan lemon yang cerah tropis. Lama-kelamaan lavender lychee dan aquatic notes yang segar. Akhirnya teak wood tonka bean vetiver yang maskulin.;https://guardianindonesia.co.id/media/catalog/product/42/3124926~1_20260408100729_7805.png?format=jpeg;https://shopee.co.id/mykonosofficial;230000;;;
